,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
0,3.0,4.0,138.0,40.0
1,3.0,4.0,342.0,40.0
2,23.0,4.0,349.0,40.0
3,20.0,4.0,349.0,40.0
4,23.0,4.0,138.0,40.0
5,23.0,4.0,66.0,40.0
6,3.0,4.0,138.0,10.0
7,3.0,4.0,342.0,10.0
8,23.0,4.0,349.0,10.0
9,20.0,4.0,349.0,10.0
10,23.0,4.0,138.0,10.0
11,23.0,4.0,66.0,10.0
12,3.0,4.0,138.0,46.0
13,3.0,4.0,342.0,46.0
14,23.0,4.0,349.0,46.0
15,20.0,4.0,349.0,46.0
16,23.0,4.0,138.0,46.0
17,23.0,4.0,66.0,46.0
18,3.0,4.0,299.0,40.0
19,22.0,4.0,328.0,40.0
20,22.0,4.0,1.0,40.0
21,22.0,4.0,131.0,40.0
22,3.0,4.0,299.0,61.0
23,22.0,4.0,328.0,61.0
24,22.0,4.0,1.0,61.0
25,22.0,4.0,131.0,61.0
26,3.0,4.0,299.0,22.0
27,22.0,4.0,328.0,22.0
28,22.0,4.0,1.0,22.0
29,22.0,4.0,131.0,22.0
30,1.0,4.0,136.0,71.0
31,10.0,4.0,154.0,71.0
32,10.0,4.0,184.0,71.0
33,1.0,4.0,136.0,61.0
34,10.0,4.0,154.0,61.0
35,10.0,4.0,184.0,61.0
36,1.0,4.0,136.0,13.0
37,10.0,4.0,154.0,13.0
38,10.0,4.0,184.0,13.0
39,1.0,4.0,136.0,22.0
40,10.0,4.0,154.0,22.0
41,10.0,4.0,184.0,22.0
42,1.0,4.0,136.0,62.0
43,10.0,4.0,154.0,62.0
44,10.0,4.0,184.0,62.0
45,1.0,4.0,136.0,30.0
46,10.0,4.0,154.0,30.0
47,10.0,4.0,184.0,30.0
48,3.0,5.0,356.0,61.0
49,3.0,5.0,367.0,61.0
50,3.0,5.0,378.0,61.0
51,3.0,5.0,152.0,61.0
52,3.0,5.0,356.0,22.0
53,3.0,5.0,367.0,22.0
54,3.0,5.0,378.0,22.0
