,Position,Position.Name,State.Name,Position.Of.Interest,Employment.Type
27,Restauration,Founder/CEO,California,Host,Part-Time
28,Restauration,"Sr. Strategist, Commerce Ops",California,Host,Part-Time
29,Restauration,Summer Associate,Overseas,Host,Part-Time
30,Restauration,Summer Associate,New York,Host,Part-Time
31,Restauration,Founder/CEO,Overseas,Host,Part-Time
32,Restauration,Co-founder and director of Marketing,Overseas,Host,Part-Time
33,Restauration,Founder/CEO,California,Barista,Part-Time
34,Restauration,"Sr. Strategist, Commerce Ops",California,Barista,Part-Time
35,Restauration,Summer Associate,Overseas,Barista,Part-Time
36,Restauration,Summer Associate,New York,Barista,Part-Time
37,Restauration,Founder/CEO,Overseas,Barista,Part-Time
38,Restauration,Co-founder and director of Marketing,Overseas,Barista,Part-Time
39,Restauration,Founder/CEO,California,Line Cook,Part-Time
40,Restauration,"Sr. Strategist, Commerce Ops",California,Line Cook,Part-Time
41,Restauration,Summer Associate,Overseas,Line Cook,Part-Time
42,Restauration,Summer Associate,New York,Line Cook,Part-Time
43,Restauration,Founder/CEO,Overseas,Line Cook,Part-Time
44,Restauration,Co-founder and director of Marketing,Overseas,Line Cook,Part-Time
51,Restauration,Sales Associate,California,Host,Part-Time
52,Restauration,Senior Assistant Manager,Ohio,Host,Part-Time
53,Restauration,1st Assistant Manager,Ohio,Host,Part-Time
54,Restauration,FT Sales Leader,Ohio,Host,Part-Time
55,Restauration,Sales Associate,California,Receptionist,Part-Time
56,Restauration,Senior Assistant Manager,Ohio,Receptionist,Part-Time
57,Restauration,1st Assistant Manager,Ohio,Receptionist,Part-Time
58,Restauration,FT Sales Leader,Ohio,Receptionist,Part-Time
59,Restauration,Sales Associate,California,Customer Service Rep,Part-Time
60,Restauration,Senior Assistant Manager,Ohio,Customer Service Rep,Part-Time
61,Restauration,1st Assistant Manager,Ohio,Customer Service Rep,Part-Time
62,Restauration,FT Sales Leader,Ohio,Customer Service Rep,Part-Time
63,Restauration,Financial Aid Advisor ,Arizona,Server,Part-Time
64,Restauration,Games Manager ,Iowa,Server,Part-Time
65,Restauration,Inventory Manager/ Sales,Iowa,Server,Part-Time
66,Restauration,Financial Aid Advisor ,Arizona,Receptionist,Part-Time
67,Restauration,Games Manager ,Iowa,Receptionist,Part-Time
68,Restauration,Inventory Manager/ Sales,Iowa,Receptionist,Part-Time
69,Restauration,Financial Aid Advisor ,Arizona,Book Keeper,Part-Time
70,Restauration,Games Manager ,Iowa,Book Keeper,Part-Time
71,Restauration,Inventory Manager/ Sales,Iowa,Book Keeper,Part-Time
72,Restauration,Financial Aid Advisor ,Arizona,Customer Service Rep,Part-Time
73,Restauration,Games Manager ,Iowa,Customer Service Rep,Part-Time
74,Restauration,Inventory Manager/ Sales,Iowa,Customer Service Rep,Part-Time
75,Restauration,Financial Aid Advisor ,Arizona,Sales Rep,Part-Time
76,Restauration,Games Manager ,Iowa,Sales Rep,Part-Time
77,Restauration,Inventory Manager/ Sales,Iowa,Sales Rep,Part-Time
78,Restauration,Financial Aid Advisor ,Arizona,Driver ,Part-Time
79,Restauration,Games Manager ,Iowa,Driver ,Part-Time
80,Restauration,Inventory Manager/ Sales,Iowa,Driver ,Part-Time
414,Accounting & Finance,"Teacher , Coach",California,Receptionist,Seasonal/Temp
415,Accounting & Finance,U.S Hispanic Sales Assistant,California,Receptionist,Seasonal/Temp
416,Accounting & Finance,Wine Consultant,California,Receptionist,Seasonal/Temp
417,Accounting & Finance,Fundraiser Coordinator,California,Receptionist,Seasonal/Temp
418,Accounting & Finance,"Teacher , Coach",California,Customer Service Rep,Seasonal/Temp
419,Accounting & Finance,U.S Hispanic Sales Assistant,California,Customer Service Rep,Seasonal/Temp
420,Accounting & Finance,Wine Consultant,California,Customer Service Rep,Seasonal/Temp
421,Accounting & Finance,Fundraiser Coordinator,California,Customer Service Rep,Seasonal/Temp
422,Accounting & Finance,"Teacher , Coach",California,Sales Rep,Seasonal/Temp
423,Accounting & Finance,U.S Hispanic Sales Assistant,California,Sales Rep,Seasonal/Temp
424,Accounting & Finance,Wine Consultant,California,Sales Rep,Seasonal/Temp
425,Accounting & Finance,Fundraiser Coordinator,California,Sales Rep,Seasonal/Temp
564,Receptionist,Temporary Staff,Illinois,Dishwasher,Seasonal/Temp
565,Receptionist,Temporary Staff,Illinois,Dishwasher,Seasonal/Temp
566,Receptionist,Temporary Office,Illinois,Dishwasher,Seasonal/Temp
567,Receptionist,Temporary Staff,Illinois,Receptionist,Seasonal/Temp
568,Receptionist,Temporary Staff,Illinois,Receptionist,Seasonal/Temp
569,Receptionist,Temporary Office,Illinois,Receptionist,Seasonal/Temp
570,Receptionist,Temporary Staff,Illinois,File Clerk,Seasonal/Temp
571,Receptionist,Temporary Staff,Illinois,File Clerk,Seasonal/Temp
572,Receptionist,Temporary Office,Illinois,File Clerk,Seasonal/Temp
573,Receptionist,Temporary Staff,Illinois,Dishwasher,Seasonal/Temp
574,Receptionist,Temporary Staff,Illinois,Dishwasher,Seasonal/Temp
575,Receptionist,Temporary Office,Illinois,Dishwasher,Seasonal/Temp
576,Receptionist,Temporary Staff,Illinois,Receptionist,Seasonal/Temp
577,Receptionist,Temporary Staff,Illinois,Receptionist,Seasonal/Temp
578,Receptionist,Temporary Office,Illinois,Receptionist,Seasonal/Temp
579,Receptionist,Temporary Staff,Illinois,File Clerk,Seasonal/Temp
580,Receptionist,Temporary Staff,Illinois,File Clerk,Seasonal/Temp
581,Receptionist,Temporary Office,Illinois,File Clerk,Seasonal/Temp
1159,Retail Professional,youth care worker ,Arkansas,Server,Part-Time
1160,Retail Professional,youth care worker ,Arkansas,Host,Part-Time
1161,Retail Professional,youth care worker ,Arkansas,Line Cook,Part-Time
1162,Retail Professional,youth care worker ,Arkansas,Customer Service Rep,Part-Time
1163,Retail Professional,youth care worker ,Arkansas,Server,Part-Time
1164,Retail Professional,youth care worker ,Arkansas,Host,Part-Time
1165,Retail Professional,youth care worker ,Arkansas,Line Cook,Part-Time
1166,Retail Professional,youth care worker ,Arkansas,Customer Service Rep,Part-Time
1167,Retail Professional,youth care worker ,Arkansas,Server,Part-Time
1168,Retail Professional,youth care worker ,Arkansas,Host,Part-Time
1169,Retail Professional,youth care worker ,Arkansas,Line Cook,Part-Time
1170,Retail Professional,youth care worker ,Arkansas,Customer Service Rep,Part-Time
1200,Retail Professional,Founder/CEO,California,Host,Seasonal/Temp
1201,Retail Professional,"Sr. Strategist, Commerce Ops",California,Host,Seasonal/Temp
1202,Retail Professional,Summer Associate,Overseas,Host,Seasonal/Temp
1203,Retail Professional,Summer Associate,New York,Host,Seasonal/Temp
1204,Retail Professional,Founder/CEO,Overseas,Host,Seasonal/Temp
1205,Retail Professional,Co-founder and director of Marketing,Overseas,Host,Seasonal/Temp
1206,Retail Professional,Founder/CEO,California,Barista,Seasonal/Temp
1207,Retail Professional,"Sr. Strategist, Commerce Ops",California,Barista,Seasonal/Temp
1208,Retail Professional,Summer Associate,Overseas,Barista,Seasonal/Temp
1209,Retail Professional,Summer Associate,New York,Barista,Seasonal/Temp
1210,Retail Professional,Founder/CEO,Overseas,Barista,Seasonal/Temp
